type,length,azimuth,dip_azimuth,dip,kine,aperture,source
Fracture,21,86,,,,,dem
Fracture,28,100,,,,,dem
Fracture,57,89,,,,,dem
Fracture,61,68,,,,,dem
Fracture,114,86,,,,,dem
Fracture,46,11,,,,,dem
Fracture,91,75,,,,,dem
Fracture,25,110,,,,,dem
Fracture,33,70,,,,,dem
Fracture,106,36,,,,,dem
Fracture,59,159,,,,,dem
Fracture,123,68,,,,,dem
Fracture,62,92,,,,,dem
Fracture,86,110,,,,,dem
Fracture,14,173,,,,,dem
Fracture,36,124,,,,,dem
Fracture,28,160,,,,,dem
Fracture,37,44,,,,,dem
Fracture,40,130,,,,,dem
Fracture,66,120,,,,,dem
Fracture,32,108,,,,,dem
Fracture,31,114,,,,,dem
Fracture,21,104,,,,,dem
Fracture,117,126,,,,,dem
Fracture,18,35,,,,,dem
Fracture,6,152,,,,,dem
Fracture,16,151,,,,,dem
Fracture,33,108,,,,,dem
Fracture,14,132,,,,,dem
Fracture,28,80,,,,,dem
Fracture,42,87,,,,,dem
Fracture,89,81,,,,,dem
Fracture,20,90,,,,,dem
Fracture,17,70,,,,,dem
Fracture,53,108,,,,,dem
Fracture,182,115,,,,,dem
Fracture,54,121,,,,,dem
Fracture,148,66,,,,,dem
Fracture,345,104,,,,,dem
Fracture,73,71,,,,,dem
Fracture,98,62,,,,,dem
Fracture,49,61,,,,,dem
Fracture,17,65,,,,,dem
Fracture,13,56,,,,,dem
Fracture,110,104,,,,,dem
Fracture,111,60,,,,,dem
Fracture,35,100,,,,,dem
Fracture,63,78,,,,,dem
Fracture,196,56,,,,,dem
Fracture,106,82,,,,,dem
Fracture,124,54,,,,,dem
Fracture,35,49,,,,,dem
Fracture,157,65,,,,,dem
Fracture,144,54,,,,,dem
Fracture,24,17,,,,,dem
Fracture,9,102,,,,,dem
Fracture,28,75,,,,,dem
Fracture,204,94,,,,,dem
Fracture,150,20,,,,,dem
Fracture,35,77,,,,,dem
Fracture,142,114,,,,,dem
Fracture,122,85,,,,,dem
Fracture,142,113,,,,,dem
Fracture,38,89,,,,,dem
Fracture,77,162,,,,,dem
Fracture,38,100,,,,,dem
Fracture,107,95,,,,,dem
Fracture,41,76,,,,,dem
Fracture,157,108,,,,,dem
Fracture,198,108,,,,,dem
Fracture,44,60,,,,,dem
Fracture,97,140,,,,,dem
Fracture,55,71,,,,,dem
Fracture,77,158,,,,,dem
Fracture,16,62,,,,,dem
Fracture,12,155,,,,,dem
Fracture,91,70,,,,,dem
Fracture,29,152,,,,,dem
Fracture,95,132,,,,,dem
Fracture,20,48,,,,,dem
Fracture,22,21,,,,,dem
Fracture,23,7,,,,,dem
Fracture,32,76,,,,,dem
Fracture,81,63,,,,,dem
Fracture,94,88,,,,,dem
Fracture,22,61,,,,,dem
Fracture,8,53,,,,,dem
Fracture,39,147,,,,,dem
Fracture,82,95,,,,,dem
Fracture,74,143,,,,,dem
Fracture,61,71,,,,,dem
Fracture,14,77,,,,,dem
Fracture,51,176,,,,,dem
Fracture,33,94,,,,,dem
Fracture,57,170,,,,,dem
Fracture,35,74,,,,,dem
Fracture,13,37,,,,,dem
Fracture,11,64,,,,,dem
Fracture,91,69,,,,,dem
Fracture,30,3,,,,,dem
Fracture,20,19,,,,,dem
Fracture,17,151,,,,,dem
Fracture,16,107,,,,,dem
Fracture,45,70,,,,,dem
Fracture,66,75,,,,,dem
Fracture,25,66,,,,,dem
Fracture,19,80,,,,,dem
Fracture,59,30,,,,,dem
Fracture,23,83,,,,,dem
Fracture,28,173,,,,,dem
Fracture,77,80,,,,,dem
Fracture,84,71,,,,,dem
Fracture,78,64,,,,,dem
Fracture,24,39,,,,,dem
Fracture,20,159,,,,,dem
Fracture,69,57,,,,,dem
Fracture,65,125,,,,,dem
Fracture,17,52,,,,,dem
Fracture,160,72,,,,,dem
Fracture,64,101,,,,,dem
Fracture,9,39,,,,,dem
Fracture,34,86,,,,,dem
Fracture,102,95,,,,,dem
Fracture,47,78,,,,,dem
Fracture,23,27,,,,,dem
Fracture,28,37,,,,,dem
Fracture,146,39,,,,,dem
Fracture,102,103,,,,,dem
Fracture,107,37,,,,,dem
Fracture,28,78,,,,,dem
Fracture,40,90,,,,,dem
Fracture,76,145,,,,,dem
Fracture,83,94,,,,,dem
Fracture,44,99,,,,,dem
Fracture,50,140,,,,,dem
Fracture,53,121,,,,,dem
Fracture,29,131,,,,,dem
Fracture,17,74,,,,,dem
Fracture,80,44,,,,,dem
Fracture,56,34,,,,,dem
Fracture,46,8,,,,,dem
Fracture,35,147,,,,,dem
Fracture,68,103,,,,,dem
Fracture,53,109,,,,,dem
Fracture,92,68,,,,,dem
Fracture,71,103,,,,,dem
Fracture,19,109,,,,,dem
Fracture,34,66,,,,,dem
Fracture,59,110,,,,,dem
Fracture,65,98,,,,,dem
Fracture,73,49,,,,,dem
Fracture,34,57,,,,,dem
Fracture,137,1,,,,,dem
Fracture,49,51,,,,,dem
Fracture,47,126,,,,,dem
Fracture,127,92,,,,,dem
Fracture,33,22,,,,,dem
Fracture,42,177,,,,,dem
Fracture,116,84,,,,,dem
Fracture,34,111,,,,,dem
Fracture,40,53,,,,,dem
Fracture,8,11,,,,,dem
Fracture,54,3,,,,,dem
Fracture,146,95,,,,,dem
Fracture,29,37,,,,,dem
Fracture,74,73,,,,,dem
Fracture,37,5,,,,,dem
Fracture,15,81,,,,,dem
Fracture,47,80,,,,,dem
Fracture,132,82,,,,,dem
Fracture,95,71,,,,,dem
Fracture,30,15,,,,,dem
Fracture,35,147,,,,,dem
Fracture,27,86,,,,,dem
Fracture,24,148,,,,,dem
Fracture,127,180,,,,,dem
Fracture,21,148,,,,,dem
Fracture,35,62,,,,,dem
Fracture,20,58,,,,,dem
Fracture,46,42,,,,,dem
Fracture,21,31,,,,,dem
Fracture,34,30,,,,,dem
Fracture,43,48,,,,,dem
Fracture,85,2,,,,,dem
Fracture,17,36,,,,,dem
Fracture,18,69,,,,,dem
Fracture,76,64,,,,,dem
Fracture,18,38,,,,,dem
Fracture,28,147,,,,,dem
Fracture,48,171,,,,,dem
Fracture,210,125,,,,,dem
Fracture,25,120,,,,,dem
Fracture,85,54,,,,,dem
Fracture,81,138,,,,,dem
Fracture,31,120,,,,,dem
Fracture,15,66,,,,,dem
Fracture,73,143,,,,,dem
Fracture,24,24,,,,,dem
Fracture,19,154,,,,,dem
Fracture,39,71,,,,,dem
Fracture,6,2,,,,,dem
Fracture,28,180,,,,,dem
Fracture,20,135,,,,,dem
Fracture,8,171,,,,,dem
Fracture,26,68,,,,,dem
Fracture,38,153,,,,,dem
Fracture,27,50,,,,,dem
Fracture,35,72,,,,,dem
Fracture,127,65,,,,,dem
Fracture,45,142,,,,,dem
Fracture,108,78,,,,,dem
Fracture,135,73,,,,,dem
Fracture,15,146,,,,,dem
Fracture,83,126,,,,,dem
Fracture,49,91,,,,,dem
Fracture,15,50,,,,,dem
Fracture,61,74,,,,,dem
Fracture,46,58,,,,,dem
Fracture,53,68,,,,,dem
Fracture,34,31,,,,,dem
Fracture,31,158,,,,,dem
Fracture,48,22,,,,,dem
Fracture,27,145,,,,,dem
Fracture,48,49,,,,,dem
Fracture,34,60,,,,,dem
Fracture,59,37,,,,,dem
Fracture,46,130,,,,,dem
Fracture,30,122,,,,,dem
Fracture,24,67,,,,,dem
Fracture,14,56,,,,,dem
Fracture,82,106,,,,,dem
Fracture,100,84,,,,,dem
Fracture,57,63,,,,,dem
Fracture,79,70,,,,,dem
Fracture,26,28,,,,,dem
Fracture,24,54,,,,,dem
Fracture,28,33,,,,,dem
Fracture,18,133,,,,,dem
Fracture,40,24,,,,,dem
Fracture,63,129,,,,,dem
Fracture,59,137,,,,,dem
Fracture,51,86,,,,,dem
Fracture,60,144,,,,,dem
Fracture,133,137,,,,,dem
Fracture,36,158,,,,,dem
Fracture,87,151,,,,,dem
Fracture,59,62,,,,,dem
Fracture,46,118,,,,,dem
Fracture,41,117,,,,,dem
Fracture,147,86,,,,,dem
Fracture,94,70,,,,,dem
Fracture,77,75,,,,,dem
Fracture,41,84,,,,,dem
Fracture,119,82,,,,,dem
Fracture,96,84,,,,,dem
Fracture,30,147,,,,,dem
Fracture,29,143,,,,,dem
Fracture,66,91,,,,,dem
Fracture,107,90,,,,,dem
Fracture,249,94,,,,,dem
Fracture,32,70,,,,,dem
Fracture,160,77,,,,,dem
Fracture,140,93,,,,,dem
Fracture,21,60,,,,,dem
Fracture,98,82,,,,,dem
Fracture,36,65,,,,,dem
Fracture,70,80,,,,,dem
Fracture,196,89,,,,,dem
Fracture,94,80,,,,,dem
Fracture,32,79,,,,,dem
Fracture,57,37,,,,,dem
Fracture,27,65,,,,,dem
Fracture,151,87,,,,,dem
Fracture,179,98,,,,,dem
Fracture,91,88,,,,,dem
Fracture,7,41,,,,,dem
Fracture,26,163,,,,,dem
Fracture,109,89,,,,,dem
Fracture,36,93,,,,,dem
Fracture,143,85,,,,,dem
Fracture,26,50,,,,,dem
Fracture,27,80,,,,,dem
Fracture,31,77,,,,,dem
Fracture,112,46,,,,,dem
Fracture,43,68,,,,,dem
Fracture,33,63,,,,,dem
Fracture,25,82,,,,,dem
Fracture,55,70,,,,,dem
Fracture,67,90,,,,,dem
Fracture,104,65,,,,,dem
Fracture,55,62,,,,,dem
Fracture,161,60,,,,,dem
Fracture,153,71,,,,,dem
Fracture,11,168,,,,,dem
Fracture,36,72,,,,,dem
Fracture,14,9,,,,,dem
Fracture,4,158,,,,,dem
Fracture,33,138,,,,,dem
Fracture,20,160,,,,,dem
Fracture,123,89,,,,,dem
Fracture,65,136,,,,,dem
Fracture,27,139,,,,,dem
Fracture,8,43,,,,,dem
Fracture,13,144,,,,,dem
Fracture,85,81,,,,,dem
Fracture,25,93,,,,,dem
Fracture,87,37,,,,,dem
Fracture,153,83,,,,,dem
Fracture,55,75,,,,,dem
Fracture,112,63,,,,,dem
Fracture,10,72,,,,,dem
Fracture,52,74,,,,,dem
Fracture,77,24,,,,,dem
Fracture,107,41,,,,,dem
Fracture,53,120,,,,,dem
Fracture,61,76,,,,,dem
Fracture,16,88,,,,,dem
